CBBC	Station name not available	2016.04.07 0931 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CBBC.TXT
CBBY	Station name not available	2011.11.22 2200 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CBBY.TXT
CBKP	Station name not available	2013.01.25 1000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CBKP.TXT
CCAE	Station name not available	2008.03.31 1856 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CCAE.TXT
CCAT	Station name not available	2012.03.05 2000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CCAT.TXT
CCFA	Station name not available	2013.01.21 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CCFA.TXT
CCJO	Station name not available	2013.01.18 1600 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CCJO.TXT
CCRM	Station name not available	2012.03.06 0600 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CCRM.TXT
CCTE	Station name not available	2013.01.24 2300 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CCTE.TXT
CERM	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CERM.TXT
CFP7	Station name not available	2015.05.16 1900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CFP7.TXT
CGCP	Station name not available	2009.10.28 0000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CGCP.TXT
CGSL	Station name not available	2008.04.02 1300 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CGSL.TXT
CHCH	Station name not available	2010.01.28 2100 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CHCH.TXT
CHSE	Station name not available	2009.11.13 1531 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CHSE.TXT
CINS	Station name not available	2011.10.20 0256 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CINS.TXT
CJBG	Station name not available	2011.05.16 1000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CJBG.TXT
CJCT	Station name not available	2008.12.07 0851 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CJCT.TXT
CLCA	Station name not available	2009.03.30 1000 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CLCA.TXT
CLLP	Station name not available	2013.01.25 1600 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CLLP.TXT
CLRB	Station name not available	2013.10.06 2200 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CLRB.TXT
CMFM	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CMFM.TXT
CMFO	Station name not available	2008.10.15 1500 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CMFO.TXT
CMGB	Station name not available	2016.04.07 0945 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CMGB.TXT
CNUQ	Station name not available	2011.01.28 1356 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CNUQ.TXT
COBG	Station name not available	2016.02.23 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/COBG.TXT
COGB	Station name not available	2008.04.06 1653 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/COGB.TXT
CORI	Station name not available	2012.03.23 0625 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CORI.TXT
CORR	Station name not available	2016.01.24 1700 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CORR.TXT
CP69	Station name not available	2010.12.14 0352 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CP69.TXT
CPBT	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPBT.TXT
CPEH	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPEH.TXT
CPFI	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPFI.TXT
CPIR	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPIR.TXT
CPRO	Station name not available	2016.04.07 0900 UTC	ftp://tgftp.nws.noaa.gov/data/observations/metar/decoded/CPRO.TXT
